Subject,Irrigator_1,Irrigator_2,Irrigator_3,Irrigator_4,Irrigator_5,Irrigator_6,Irrigator_7,Irrigator_8,Irrigator_9,Irrigator_10,Irrigator_11,Irrigator_12,Irrigator_13,Irrigator_14,Irrigator_15,Irrigator_16,Irrigator_17,Irrigator_18,Irrigator_19,Irrigator_20
1000,1.8,2.833333333,2.727272727,3,3.636363636,4.25,4,3.777777778,5.428571429,6.166666667,7.6,7.8,7.6,8.166666667,8.2,9.2,10.5,10.83333333,11.14285714,11.5
1001,1.615384615,2.076923077,3.285714286,3.1,3.444444444,4.142857143,3.444444444,5.5,5.833333333,6.5,8,7.4,7.6,9,11.5,12,12,11.5,11,11.5
1002,2.25,4,3.857142857,4.5,5.285714286,6.166666667,6.833333333,7.4,7.2,7.8,7.5,8.5,10,11.5,11,11,11.5,11.5,11.4,11.5
1003,1.470588235,1.411764706,1.785714286,2.9,3,2.833333333,6.166666667,5.5,3.3,4.25,2.666666667,4,6.833333333,7.8,7.2,6.833333333,8.6,7.166666667,7.6,7.833333333
1004,3.1,5.833333333,7,7.6,9,10.5,10.5,11.5,11.5,11.5,13.5,14.33333333,13.5,14.5,16,17.5,19,16,16,17.5
1005,1.538461538,2.5,3.444444444,4,4,3.5,4.25,6,6.2,5.285714286,7,6.8,7.5,7.4,6.833333333,7.166666667,6.5,7,7.2,7.8
1006,3.090909091,4.75,5.5,5.25,7.4,7.2,7,9,8,9,12,14,16.33333333,15.5,17,19.33333333,18,16.4,18.66666667,17
1008,2.5,2.666666667,4.333333333,5,5.5,7,8.2,8,8.6,10,11,12.5,13,13.5,14,14.6,15.5,17,18,18
1009,2,2.307692308,2.5,2.666666667,3.1,3.888888889,4.75,6.5,5.857142857,6.5,6.5,7.166666667,7.5,7,8.5,10,7.6,8.2,9.6,10.2
1010,1.8,2.727272727,3.666666667,4.25,7,6.5,6.833333333,8,7.4,8.5,10.8,11,14.5,14,11.5,9.4,10.8,11.5,10.6,10.8
1011,1.8,2.153846154,4.25,5.5,5.142857143,7.6,8.2,8,7,9,9,8.5,9.5,10,11,13.33333333,11,11.5,13,13.5
1012,2.384615385,2.357142857,3.444444444,6,8,7.8,8.5,9.5,10.8,11.4,12.33333333,14,15,16,15,16.66666667,15.66666667,18,18.33333333,16.66666667
1013,3.666666667,5.833333333,NaN,7.5,9,10.4,12.5,14,14.5,15.33333333,15,15.33333333,15,15.5,15.33333333,15.5,15.66666667,15,16,17
1014,2.9,3.75,4.5,5.8,4.75,7.6,7.8,8.5,11,11.5,13,13,13.5,15,14,13.5,13.5,13.5,14.5,16
1015,2.384615385,2.833333333,4.714285714,6.833333333,5.5,6.166666667,6.5,5.833333333,5.75,7.4,7.6,7.4,7.2,8.5,8.5,7.5,7.2,7.166666667,6.6,6.714285714
1016,1.6875,2.142857143,2.333333333,4.75,7.8,6.5,7.6,9,9.5,9.6,10.5,11,11.5,11,12.6,13,13.5,14,15,14
1017,3.3,5.833333333,6.833333333,7.25,7.6,7.166666667,8.285714286,10.8,10.5,10.2,11,11.5,11.5,10.4,11,12.5,13,13.5,14.5,16
1018,2,3.555555556,4.571428571,5.285714286,7,7.2,8.2,7.6,7.8,7.6,7.166666667,7.8,9.5,11.5,12,11,11,10.4,10.5,11
1019,1.733333333,2.384615385,3.5,3.272727273,6.166666667,5,4.75,4.111111111,6.166666667,6,7.4,6.428571429,6.833333333,6.5,8.6,7.2,7.8,5.5,5.5,9.6
1021,2.153846154,2.538461538,4.25,6.833333333,7.166666667,7.2,7.8,7.833333333,10.5,11,10.5,11.5,12.5,13,11,10.5,11.5,13.5,15,15.2
1022,1.6875,3,2.166666667,3.555555556,4.25,4.833333333,5.142857143,5.285714286,5.714285714,6.8,6.5,6.166666667,6.6,6.8,6.166666667,6.5,6.6,6.166666667,6.166666667,6.166666667
1023,1.933333333,3.5,5.5,5.833333333,7.6,7.8,8,8.2,8.4,10.5,12.5,13,14.5,16,17,17,17.33333333,17,18,18.33333333
1024,1.15,2,1.928571429,2.9,3.3,4.857142857,5.285714286,5.714285714,6.714285714,6.833333333,6.75,6.833333333,9,10,10,11,9.4,10.5,10.4,9.6
1025,2.230769231,3.454545455,5.571428571,7,8.166666667,8.6,8,7.5,9,10.4,11.4,12.5,13.5,14,15.5,17.5,18.33333333,17.33333333,16.4,17.33333333
1026,2.692307692,4.428571429,6.5,6.5,6.833333333,7.5,7.4,6.5,7,8.2,8,7.5,8.2,8.8,10.5,11,12.5,13.5,NA,NA
1027,1.444444444,2.142857143,2.5,4.166666667,4.785714286,4,5.833333333,7.6,6.166666667,6.266666667,7.166666667,6.8,6.5,6.545454545,6.833333333,6.8,10.2,6.545454545,6.5,6.833333333
1028,1.933333333,3.333333333,3.3,4.25,5.833333333,4.571428571,5.857142857,7.4,8,8.6,7.6,8.6,7.285714286,8,9.6,9.4,10.8,11.5,10.5,9.4
1029,3.666666667,5.833333333,6,7.833333333,8,7.5,7.8,10,9.222222222,11.2,11,11.8,13,12.5,14,13.5,13.5,15.5,16.33333333,15.33333333
1030,1.8,3.1,5,6.5,7,7.2,7.4,6.833333333,6.5,7.2,9,8.4,10.5,12,11,10.5,10.5,10.5,11.5,NA
1031,1.105263158,1.25,1.470588235,1.333333333,1.444444444,1.4,1.411764706,1.647058824,2.307692308,2.230769231,3.3,2.333333333,2.153846154,2.230769231,2.636363636,2.9,2.545454545,3.1,2.642857143,3.111111111
1032,2.083333333,2.909090909,4.75,5.833333333,6.5,7.166666667,7.166666667,7.8,7.6,7.5,6.5,7.166666667,7.5,8.2,8.4,10.5,12,11.5,12.5,14
1034,3,6.166666667,6.833333333,7,7.166666667,7.2,7.4,7.6,7.4,8,9,10.4,9.4,10.5,11,11.5,13.5,13.5,11,11.5
1035,2.9,6.833333333,7,8.5,10.5,11.5,13,13.5,15.5,16.33333333,16.5,16,15.5,17.5,17.66666667,18.5,19.33333333,18.33333333,18,19
1036,1.19047619,2.583333333,2.9,3.555555556,3.75,3.3,5.428571429,6,5.833333333,5.833333333,5.166666667,6.2,6.8,5.833333333,NaN,5.833333333,7.8,6.8,6.166666667,6.166666667
1038,1.625,2.583333333,3.5,2.818181818,3.888888889,5.5,6.8,6.5,6.6,6.8,7,6.8,6.6,6.5,7.6,7.5,7.4,6.4,6.6,6.4
1039,1.125,1.470588235,2,2.9,3.1,3.222222222,3.857142857,3.75,4.25,5.166666667,4.571428571,6.166666667,5.833333333,5,4.285714286,6.8,5.166666667,7.8,7.2,6.6
1040,1.411764706,2.5,3.222222222,3.181818182,3.888888889,4.5,5,5.428571429,5.285714286,3.75,6.833333333,7,5.571428571,6.285714286,5,7.2,7.166666667,6.75,6.166666667,7.8
1041,1.647058824,1.928571429,2.7,3.75,3.444444444,3.75,6.166666667,5,5.833333333,7.166666667,6.833333333,7,8,8.2,7.6,6.833333333,9,10.5,10.5,9.2
1042,3.2,5,6.5,7.166666667,7.428571429,10,12.5,13,13.5,14.5,16,15.66666667,15,15.33333333,14,15.5,17,17.33333333,15.66666667,16
1043,1.882352941,3.222222222,3.1,3.555555556,5.428571429,4.75,5.833333333,6.142857143,6.833333333,6.5,7.4,6.833333333,11,6.5,7.2,7.4,10,7.6,7.5,7.8
1044,1.411764706,2.7,3.333333333,2.333333333,3.666666667,3.5,4.5,5.5,6.142857143,7,7.2,7.4,6.5,7,6.5,7,7.166666667,8,8.2,8
1045,2.727272727,3.2,4.25,3.777777778,5.714285714,6.833333333,6.833333333,9.2,8.2,7.6,8.2,10,11.5,11.42857143,12,11,9.8,10,13.11111111,16
1046,2.5,3.444444444,4.75,6.8,8,10.5,11,11,10.8,10.5,9.4,10.5,10.5,11.5,13.5,13.6,13.5,13,11.5,11.4
1047,2.909090909,5,8.5,9,8.2,8,7.166666667,9,10,11,10.5,11.5,12,13,14.33333333,14,15,16,16.33333333,16
1048,1.25,1.315789474,1.588235294,2.363636364,1.933333333,1.8125,2.307692308,2.071428571,2.5,3.222222222,3.1,3.181818182,4,4.857142857,4.666666667,6.5,6.166666667,7.461538462,NaN,8.888888889
